"時点","地域コード","地域","出生数【人】","注記"
"2000年","25000","滋賀県","14087",""
"2001年","25000","滋賀県","14015",""
"2002年","25000","滋賀県","13938",""
"2003年","25000","滋賀県","13624",""
"2004年","25000","滋賀県","13627",""
"2005年","25000","滋賀県","12899",""
"2006年","25000","滋賀県","13448",""
"2007年","25000","滋賀県","13343",""
"2008年","25000","滋賀県","13487",""
"2009年","25000","滋賀県","13151",""
"2010年","25000","滋賀県","13363",""
"2011年","25000","滋賀県","13338",""
"2012年","25000","滋賀県","13236",""
"2013年","25000","滋賀県","13015",""
"2014年","25000","滋賀県","12729",""
"2015年","25000","滋賀県","12622",""
"2016年","25000","滋賀県","12073",""
"2017年","25000","滋賀県","11600",""
"2018年","25000","滋賀県","11350",""
"2019年","25000","滋賀県","10627",""
"2020年","25000","滋賀県","10437",""
"2021年","25000","滋賀県","10130",""
"2022年","25000","滋賀県","9766",""
"2023年","25000","滋賀県","9249",""
"2024年","25000","滋賀県","8795",""
"2025年","25000","滋賀県","8708","速報"
"1995年","26000","京都府","23219",""
"1996年","26000","京都府","24023",""
"1997年","26000","京都府","23595",""
"1998年","26000","京都府","24312",""
"1999年","26000","京都府","23831",""
"2000年","26000","京都府","23997",""
"2001年","26000","京都府","23364",""
"2002年","26000","京都府","22859",""
"2003年","26000","京都府","22371",""
"2004年","26000","京都府","22066",""
"2005年","26000","京都府","21560",""
"2006年","26000","京都府","22100",""
"2007年","26000","京都府","21597",""
"2008年","26000","京都府","21842",""
"2009年","26000","京都府","21058",""
"2010年","26000","京都府","21234",""
"2011年","26000","京都府","20707",""
"2012年","26000","京都府","20111",""
"2013年","26000","京都府","20106",""
"2014年","26000","京都府","19583",""
"2015年","26000","京都府","19663",""
"2016年","26000","京都府","19327",""
"2017年","26000","京都府","18521",""
"2018年","26000","京都府","17909",""
"2019年","26000","京都府","16993",""
"2020年","26000","京都府","16440",""
"2021年","26000","京都府","15818",""
"2022年","26000","京都府","15068",""
"2023年","26000","京都府","13882",""
"2024年","26000","京都府","12938",""
"2025年","26000","京都府","12677","速報"
"1995年","27000","大阪府","86076",""
"1996年","27000","大阪府","89291",""
"1997年","27000","大阪府","89043",""
"1998年","27000","大阪府","90324",""
"1999年","27000","大阪府","88385",""
"2000年","27000","大阪府","88163",""
"2001年","27000","大阪府","86000",""
"2002年","27000","大阪府","83883",""
"2003年","27000","大阪府","81001",""
"2004年","27000","大阪府","79719",""
"2005年","27000","大阪府","76111",""
"2006年","27000","大阪府","77641",""
"2007年","27000","大阪府","76914",""
"2008年","27000","大阪府","77400",""
"2009年","27000","大阪府","75250",""
"2010年","27000","大阪府","75080",""
"2011年","27000","大阪府","73919",""
"2012年","27000","大阪府","73012",""
"2013年","27000","大阪府","72054",""
"2014年","27000","大阪府","69968",""
"2015年","27000","大阪府","70596",""
"2016年","27000","大阪府","68817",""
"2017年","27000","大阪府","66605",""
"2018年","27000","大阪府","65446",""
"2019年","27000","大阪府","62557",""
"2020年","27000","大阪府","61878",""
"2021年","27000","大阪府","59780",""
"2022年","27000","大阪府","57315",""
"2023年","27000","大阪府","55292",""
"2024年","27000","大阪府","53351",""
"2025年","27000","大阪府","52598","速報"
"1995年","28000","兵庫県","51947",""
"1996年","28000","兵庫県","53131",""
"1997年","28000","兵庫県","53356",""
"1998年","28000","兵庫県","54421",""
"1999年","28000","兵庫県","53765",""
"2000年","28000","兵庫県","54455",""
"2001年","28000","兵庫県","52585",""
"2002年","28000","兵庫県","52314",""
"2003年","28000","兵庫県","50520",""
"2004年","28000","兵庫県","49789",""
"2005年","28000","兵庫県","47273",""
"2006年","28000","兵庫県","48771",""
"2007年","28000","兵庫県","48685",""
"2008年","28000","兵庫県","48833",""
"2009年","28000","兵庫県","47592",""
"2010年","28000","兵庫県","47834",""
"2011年","28000","兵庫県","47351",""
"2012年","28000","兵庫県","46436",""
"2013年","28000","兵庫県","45673",""
"2014年","28000","兵庫県","44352",""
"2015年","28000","兵庫県","44016",""
"2016年","28000","兵庫県","43379",""
"2017年","28000","兵庫県","41606",""
"2018年","28000","兵庫県","39713",""
"2019年","28000","兵庫県","38043",""
"2020年","28000","兵庫県","36953",""
"2021年","28000","兵庫県","35581",""
"2022年","28000","兵庫県","33565",""
"2023年","28000","兵庫県","32615",""
"2024年","28000","兵庫県","30535",""
"2025年","28000","兵庫県","30110","速報"
"1995年","29000","奈良県","13337",""
"1996年","29000","奈良県","13663",""
"1997年","29000","奈良県","13444",""
"1998年","29000","奈良県","13779",""
"1999年","29000","奈良県","13158",""
"2000年","29000","奈良県","13270",""
"2001年","29000","奈良県","12768",""
"2002年","29000","奈良県","12472",""
"2003年","29000","奈良県","12137",""
"2004年","29000","奈良県","11749",""
"2005年","29000","奈良県","11184",""
"2006年","29000","奈良県","11476",""
"2007年","29000","奈良県","11261",""
"2008年","29000","奈良県","10981",""
"2009年","29000","奈良県","10758",""
"2010年","29000","奈良県","10694",""
"2011年","29000","奈良県","10400",""
"2012年","29000","奈良県","10565",""
"2013年","29000","奈良県","10190",""
"2014年","29000","奈良県","9625",""
"2015年","29000","奈良県","9832",""
"2016年","29000","奈良県","9430",""
"2017年","29000","奈良県","8965",""
"2018年","29000","奈良県","8947",""
"2019年","29000","奈良県","8323",""
"2020年","29000","奈良県","7831",""
"2021年","29000","奈良県","7751",""
"2022年","29000","奈良県","7315",""
"2023年","29000","奈良県","6943",""
"2024年","29000","奈良県","6697",""
"2025年","29000","奈良県","6409","速報"
"1995年","30000","和歌山県","9879",""
"1996年","30000","和歌山県","10131",""
"1997年","30000","和歌山県","9789",""
"1998年","30000","和歌山県","9886",""
"1999年","30000","和歌山県","9563",""
"2000年","30000","和歌山県","9566",""
"2001年","30000","和歌山県","9345",""
"2002年","30000","和歌山県","8943",""
"2003年","30000","和歌山県","8561",""
"2004年","30000","和歌山県","8153",""
"2005年","30000","和歌山県","7835",""
"2006年","30000","和歌山県","7930",""
"2007年","30000","和歌山県","7689",""
"2008年","30000","和歌山県","7866",""
"2009年","30000","和歌山県","7516",""
"2010年","30000","和歌山県","7587",""
"2011年","30000","和歌山県","7460",""
"2012年","30000","和歌山県","7424",""
"2013年","30000","和歌山県","7122",""
"2014年","30000","和歌山県","7140",""
"2015年","30000","和歌山県","7030",""
"2016年","30000","和歌山県","6659",""
"2017年","30000","和歌山県","6465",""
"2018年","30000","和歌山県","6070",""
"2019年","30000","和歌山県","5869",""
"2020年","30000","和歌山県","5732",""
"2021年","30000","和歌山県","5514",""
"2022年","30000","和歌山県","5238",""
"2023年","30000","和歌山県","4901",""
"2024年","30000","和歌山県","4457",""
"2025年","30000","和歌山県","4246","速報"
"1995年","31000","鳥取県","5723",""
"1996年","31000","鳥取県","5582",""
"1997年","31000","鳥取県","5603",""
"1998年","31000","鳥取県","5624",""
"1999年","31000","鳥取県","5352",""
"2000年","31000","鳥取県","5645",""
"2001年","31000","鳥取県","5595",""
"2002年","31000","鳥取県","5365",""
"2003年","31000","鳥取県","5473",""
"2004年","31000","鳥取県","5275",""
"2005年","31000","鳥取県","5012",""
"2006年","31000","鳥取県","5186",""
"2007年","31000","鳥取県","5015",""
"2008年","31000","鳥取県","4878",""
"2009年","31000","鳥取県","4876",""
"2010年","31000","鳥取県","4790",""
"2011年","31000","鳥取県","4931",""
"2012年","31000","鳥取県","4771",""
"2013年","31000","鳥取県","4759",""
"2014年","31000","鳥取県","4527",""
"2015年","31000","鳥取県","4624",""
"2016年","31000","鳥取県","4436",""
"2017年","31000","鳥取県","4310",""
"2018年","31000","鳥取県","4190",""
"2019年","31000","鳥取県","3988",""
"2020年","31000","鳥取県","3783",""
"2021年","31000","鳥取県","3708",""
"2022年","31000","鳥取県","3752",""
"2023年","31000","鳥取県","3263",""
"2024年","31000","鳥取県","3092",""
"2025年","31000","鳥取県","2973","速報"
"1995年","32000","島根県","6764",""
"1996年","32000","島根県","6828",""
"1997年","32000","島根県","6518",""
"1998年","32000","島根県","6491",""
"1999年","32000","島根県","6394",""
"2000年","32000","島根県","6522",""
"2001年","32000","島根県","6640",""
"2002年","32000","島根県","6318",""
"2003年","32000","島根県","6092",""
"2004年","32000","島根県","6104",""
"2005年","32000","島根県","5697",""
"2006年","32000","島根県","6011",""
"2007年","32000","島根県","5914",""
"2008年","32000","島根県","5685",""
"2009年","32000","島根県","5601",""
"2010年","32000","島根県","5756",""
"2011年","32000","島根県","5582",""
"2012年","32000","島根県","5585",""
"2013年","32000","島根県","5534",""
"2014年","32000","島根県","5359",""
"2015年","32000","島根県","5551",""
"2016年","32000","島根県","5300",""
"2017年","32000","島根県","5109",""
"2018年","32000","島根県","4887",""
"2019年","32000","島根県","4594",""
"2020年","32000","島根県","4473",""
"2021年","32000","島根県","4415",""
"2022年","32000","島根県","4161",""
"2023年","32000","島根県","3759",""
"2024年","32000","島根県","3622",""
"2025年","32000","島根県","3339","速報"
"1995年","33000","岡山県","18622",""
"1996年","33000","岡山県","19143",""
"1997年","33000","岡山県","19154",""
"1998年","33000","岡山県","19204",""
"1999年","33000","岡山県","18771",""
"2000年","33000","岡山県","19059",""
"2001年","33000","岡山県","18797",""
"2002年","33000","岡山県","18509",""
"2003年","33000","岡山県","17770",""
"2004年","33000","岡山県","17655",""
"2005年","33000","岡山県","16688",""
"2006年","33000","岡山県","17279",""
"2007年","33000","岡山県","17099",""
"2008年","33000","岡山県","17044",""
"2009年","33000","岡山県","16387",""
"2010年","33000","岡山県","16759",""
"2011年","33000","岡山県","16635",""
"2012年","33000","岡山県","16279",""
"2013年","33000","岡山県","16210",""
"2014年","33000","岡山県","15837",""
"2015年","33000","岡山県","15599",""
"2016年","33000","岡山県","15477",""
"2017年","33000","岡山県","14910",""
"2018年","33000","岡山県","14485",""
"2019年","33000","岡山県","13695",""
"2020年","33000","岡山県","13521",""
"2021年","33000","岡山県","13107",""
"2022年","33000","岡山県","12371",""
"2023年","33000","岡山県","11575",""
"2024年","33000","岡山県","10926",""
"2025年","33000","岡山県","10426","速報"
"1995年","34000","広島県","27609",""
"1996年","34000","広島県","28081",""
"1997年","34000","広島県","27942",""
"1998年","34000","広島県","27914",""
"1999年","34000","広島県","27119",""
"2000年","34000","広島県","27384",""
"2001年","34000","広島県","27328",""
"2002年","34000","広島県","26508",""
"2003年","34000","広島県","26285",""
"2004年","34000","広島県","25734",""
"2005年","34000","広島県","24740",""
"2006年","34000","広島県","25330",""
"2007年","34000","広島県","25887",""
"2008年","34000","広島県","25560",""
"2009年","34000","広島県","25596",""
"2010年","34000","広島県","25546",""
"2011年","34000","広島県","25469",""
"2012年","34000","広島県","24846",""
"2013年","34000","広島県","24713",""
"2014年","34000","広島県","23776",""
"2015年","34000","広島県","23679",""
"2016年","34000","広島県","22736",""
"2017年","34000","広島県","22150",""
"2018年","34000","広島県","21363",""
"2019年","34000","広島県","20034",""
"2020年","34000","広島県","19606",""
"2021年","34000","広島県","18636",""
"2022年","34000","広島県","17903",""
"2023年","34000","広島県","16682",""
"2024年","34000","広島県","15765",""
"2025年","34000","広島県","15237","速報"
"1995年","35000","山口県","13240",""
"1996年","35000","山口県","13351",""
"1997年","35000","山口県","13226",""
"1998年","35000","山口県","13275",""
"1999年","35000","山口県","13138",""
"2000年","35000","山口県","13121",""
"2001年","35000","山口県","12989",""
"2002年","35000","山口県","12578",""
"2003年","35000","山口県","12166",""
"2004年","35000","山口県","12020",""
"2005年","35000","山口県","11514",""
"2006年","35000","山口県","11692",""
"2007年","35000","山口県","11714",""
"2008年","35000","山口県","11560",""
"2009年","35000","山口県","11312",""
"2010年","35000","山口県","11551",""
"2011年","35000","山口県","11222",""
"2012年","35000","山口県","10797",""
"2013年","35000","山口県","10705",""
"2014年","35000","山口県","10197",""
"2015年","35000","山口県","10360",""
"2016年","35000","山口県","9844",""
"2017年","35000","山口県","9455",""
"2018年","35000","山口県","8987",""
"2019年","35000","山口県","8771",""
"2020年","35000","山口県","8203",""
"2021年","35000","山口県","7978",""
"2022年","35000","山口県","7762",""
"2023年","35000","山口県","7189",""
"2024年","35000","山口県","6777",""
"2025年","35000","山口県","6401","速報"
"1995年","36000","徳島県","7472",""
"1996年","36000","徳島県","7390",""
"1997年","36000","徳島県","7176",""
"1998年","36000","徳島県","7255",""
"1999年","36000","徳島県","7135",""
"2000年","36000","徳島県","7224",""
"2001年","36000","徳島県","7038",""
"2002年","36000","徳島県","6836",""
"2003年","36000","徳島県","6556",""
"2004年","36000","徳島県","6493",""
"2005年","36000","徳島県","5913",""
"2006年","36000","徳島県","6257",""
"2007年","36000","徳島県","6011",""
"2008年","36000","徳島県","5893",""
"2009年","36000","徳島県","5898",""
"2010年","36000","徳島県","5904",""
"2011年","36000","徳島県","5914",""
"2012年","36000","徳島県","5744",""
"2013年","36000","徳島県","5666",""
"2014年","36000","徳島県","5502",""
"2015年","36000","徳島県","5586",""
"2016年","36000","徳島県","5346",""
"2017年","36000","徳島県","5182",""
"2018年","36000","徳島県","4998",""
"2019年","36000","徳島県","4554",""
"2020年","36000","徳島県","4521",""
"2021年","36000","徳島県","4337",""
"2022年","36000","徳島県","4148",""
"2023年","36000","徳島県","3903",""
"2024年","36000","徳島県","3547",""
"2025年","36000","徳島県","3527","速報"
"1995年","37000","香川県","9301",""
"1996年","37000","香川県","9311",""
"1997年","37000","香川県","9511",""
"1998年","37000","香川県","9664",""
"1999年","37000","香川県","9651",""
"2000年","37000","香川県","9808",""
"2001年","37000","香川県","9472",""
"2002年","37000","香川県","9438",""
"2003年","37000","香川県","9123",""
"2004年","37000","香川県","9068",""
"2005年","37000","香川県","8686",""
"2006年","37000","香川県","8664",""
"2007年","37000","香川県","8701",""
"2008年","37000","香川県","8600",""
"2009年","37000","香川県","8366",""
"2010年","37000","香川県","8397",""
"2011年","37000","香川県","8311",""
"2012年","37000","香川県","8161",""
"2013年","37000","香川県","8059",""
"2014年","37000","香川県","7745",""
"2015年","37000","香川県","7719",""
"2016年","37000","香川県","7510",""
"2017年","37000","香川県","7387",""
"2018年","37000","香川県","6899",""
"2019年","37000","香川県","6631",""
"2020年","37000","香川県","6179",""
"2021年","37000","香川県","6223",""
"2022年","37000","香川県","5802",""
"2023年","37000","香川県","5365",""
"2024年","37000","香川県","5059",""
"2025年","37000","香川県","5103","速報"
"1995年","38000","愛媛県","13849",""
"1996年","38000","愛媛県","13739",""
"1997年","38000","愛媛県","13710",""
"1998年","38000","愛媛県","13606",""
"1999年","38000","愛媛県","13046",""
"2000年","38000","愛媛県","13207",""
"2001年","38000","愛媛県","13006",""
"2002年","38000","愛媛県","12488",""
"2003年","38000","愛媛県","12534",""
"2004年","38000","愛媛県","12057",""
"2005年","38000","愛媛県","11528",""
"2006年","38000","愛媛県","11752",""
"2007年","38000","愛媛県","11753",""
"2008年","38000","愛媛県","11561",""
"2009年","38000","愛媛県","11507",""
"2010年","38000","愛媛県","11427",""
"2011年","38000","愛媛県","11329",""
"2012年","38000","愛媛県","11130",""
"2013年","38000","愛媛県","10696",""
"2014年","38000","愛媛県","10399",""
"2015年","38000","愛媛県","10146",""
"2016年","38000","愛媛県","9911",""
"2017年","38000","愛媛県","9569",""
"2018年","38000","愛媛県","9330",""
"2019年","38000","愛媛県","8446",""
"2020年","38000","愛媛県","8102",""
"2021年","38000","愛媛県","8011",""
"2022年","38000","愛媛県","7572",""
"2023年","38000","愛媛県","6950",""
"2024年","38000","愛媛県","6557",""
"2025年","38000","愛媛県","6422","速報"
"1995年","39000","高知県","6939",""
"1996年","39000","高知県","7185",""
"1997年","39000","高知県","6807",""
"1998年","39000","高知県","6761",""
"1999年","39000","高知県","6649",""
"2000年","39000","高知県","6811",""
"2001年","39000","高知県","6736",""
"2002年","39000","高知県","6513",""
"2003年","39000","高知県","6244",""
"2004年","39000","高知県","6084",""
"2005年","39000","高知県","5916",""
"2006年","39000","高知県","6015",""
"2007年","39000","高知県","5717",""
"2008年","39000","高知県","5788",""
"2009年","39000","高知県","5415",""
"2010年","39000","高知県","5518",""
"2011年","39000","高知県","5244",""
"2012年","39000","高知県","5266",""
"2013年","39000","高知県","5266",""
"2014年","39000","高知県","5015",""
"2015年","39000","高知県","5052",""
"2016年","39000","高知県","4779",""
"2017年","39000","高知県","4837",""
"2018年","39000","高知県","4559",""
"2019年","39000","高知県","4270",""
"2020年","39000","高知県","4082",""
"2021年","39000","高知県","4090",""
"2022年","39000","高知県","3721",""
"2023年","39000","高知県","3380",""
"2024年","39000","高知県","3108",""
"2025年","39000","高知県","3079","速報"
"1995年","40000","福岡県","46849",""
"1996年","40000","福岡県","47948",""
"1997年","40000","福岡県","47539",""
"1998年","40000","福岡県","47811",""
"1999年","40000","福岡県","46682",""
"2000年","40000","福岡県","47290",""
"2001年","40000","福岡県","46985",""
"2002年","40000","福岡県","46443",""
"2003年","40000","福岡県","45035",""
"2004年","40000","福岡県","45143",""
"2005年","40000","福岡県","43421",""
"2006年","40000","福岡県","45304",""
"2007年","40000","福岡県","46393",""
"2008年","40000","福岡県","46695",""
"2009年","40000","福岡県","46084",""
"2010年","40000","福岡県","46818",""
"2011年","40000","福岡県","46220",""
"2012年","40000","福岡県","45815",""
"2013年","40000","福岡県","45898",""
"2014年","40000","福岡県","45203",""
"2015年","40000","福岡県","45236",""
"2016年","40000","福岡県","44036",""
"2017年","40000","福岡県","43440",""
"2018年","40000","福岡県","42008",""
"2019年","40000","福岡県","39754",""
"2020年","40000","福岡県","38966",""
"2021年","40000","福岡県","37540",""
"2022年","40000","福岡県","35970",""
"2023年","40000","福岡県","33942",""
"2024年","40000","福岡県","32280",""
"2025年","40000","福岡県","31710","速報"
"1995年","41000","佐賀県","8729",""
"1996年","41000","佐賀県","8941",""
"1997年","41000","佐賀県","8909",""
"1998年","41000","佐賀県","8741",""
"1999年","41000","佐賀県","8551",""
"2000年","41000","佐賀県","8745",""
"2001年","41000","佐賀県","8561",""
"2002年","41000","佐賀県","8202",""
"2003年","41000","佐賀県","7898",""
"2004年","41000","佐賀県","7844",""
"2005年","41000","佐賀県","7508",""
"2006年","41000","佐賀県","7647",""
"2007年","41000","佐賀県","7703",""
"2008年","41000","佐賀県","7819",""
"2009年","41000","佐賀県","7518",""
"2010年","41000","佐賀県","7640",""
"2011年","41000","佐賀県","7613",""
"2012年","41000","佐賀県","7440",""
"2013年","41000","佐賀県","7276",""
"2014年","41000","佐賀県","7159",""
"2015年","41000","佐賀県","7064",""
"2016年","41000","佐賀県","6811",""
"2017年","41000","佐賀県","6743",""
"2018年","41000","佐賀県","6535",""
"2019年","41000","佐賀県","6231",""
"2020年","41000","佐賀県","6004",""
"2021年","41000","佐賀県","5853",""
"2022年","41000","佐賀県","5552",""
"2023年","41000","佐賀県","5144",""
"2024年","41000","佐賀県","4824",""
"2025年","41000","佐賀県","4611","速報"
"1995年","42000","長崎県","14780",""
"1996年","42000","長崎県","15182",""
"1997年","42000","長崎県","14431",""
"1998年","42000","長崎県","14672",""
"1999年","42000","長崎県","14121",""
"2000年","42000","長崎県","14098",""
"2001年","42000","長崎県","13789",""
"2002年","42000","長崎県","13260",""
"2003年","42000","長崎県","12971",""
"2004年","42000","長崎県","12947",""
"2005年","42000","長崎県","12148",""
"2006年","42000","長崎県","12410",""
"2007年","42000","長崎県","12175",""
"2008年","42000","長崎県","12173",""
"2009年","42000","長崎県","11838",""
"2010年","42000","長崎県","12004",""
"2011年","42000","長崎県","11727",""
"2012年","42000","長崎県","11723",""
"2013年","42000","長崎県","11566",""
"2014年","42000","長崎県","11323",""
"2015年","42000","長崎県","11020",""
"2016年","42000","長崎県","10886",""
"2017年","42000","長崎県","10558",""
"2018年","42000","長崎県","10135",""
"2019年","42000","長崎県","9585",""
"2020年","42000","長崎県","9182",""
"2021年","42000","長崎県","8862",""
"2022年","42000","長崎県","8364",""
"2023年","42000","長崎県","7656",""
"2024年","42000","長崎県","7000",""
"2025年","42000","長崎県","6846","速報"
"1995年","43000","熊本県","17895",""
"1996年","43000","熊本県","18035",""
"1997年","43000","熊本県","17451",""
"1998年","43000","熊本県","17443",""
"1999年","43000","熊本県","17109",""
"2000年","43000","熊本県","17262",""
"2001年","43000","熊本県","16960",""
"2002年","43000","熊本県","16839",""
"2003年","43000","熊本県","16339",""
"2004年","43000","熊本県","16313",""
"2005年","43000","熊本県","15645",""
"2006年","43000","熊本県","16189",""
"2007年","43000","熊本県","16307",""
"2008年","43000","熊本県","16462",""
"2009年","43000","熊本県","16221",""
"2010年","43000","熊本県","16246",""
"2011年","43000","熊本県","16118",""
"2012年","43000","熊本県","15996",""
"2013年","43000","熊本県","15954",""
"2014年","43000","熊本県","15558",""
"2015年","43000","熊本県","15577",""
"2016年","43000","熊本県","14896",""
"2017年","43000","熊本県","14657",""
"2018年","43000","熊本県","14301",""
"2019年","43000","熊本県","13305",""
"2020年","43000","熊本県","13011",""
"2021年","43000","熊本県","12670",""
"2022年","43000","熊本県","11875",""
"2023年","43000","熊本県","11189",""
"2024年","43000","熊本県","10337",""
"2025年","43000","熊本県","10193","速報"
"1995年","44000","大分県","11125",""
"1996年","44000","大分県","11344",""
"1997年","44000","大分県","11103",""
"1998年","44000","大分県","11129",""
"1999年","44000","大分県","10714",""
"2000年","44000","大分県","10910",""
"2001年","44000","大分県","10891",""
"2002年","44000","大分県","10424",""
"2003年","44000","大分県","10213",""
"2004年","44000","大分県","10024",""
"2005年","44000","大分県","9780",""
"2006年","44000","大分県","10156",""
"2007年","44000","大分県","10162",""
"2008年","44000","大分県","10306",""
"2009年","44000","大分県","9961",""
"2010年","44000","大分県","10072",""
"2011年","44000","大分県","9988",""
"2012年","44000","大分県","9650",""
"2013年","44000","大分県","9605",""
"2014年","44000","大分県","9280",""
"2015年","44000","大分県","9113",""
"2016年","44000","大分県","9059",""
"2017年","44000","大分県","8658",""
"2018年","44000","大分県","8200",""
"2019年","44000","大分県","7624",""
"2020年","44000","大分県","7582",""
"2021年","44000","大分県","7327",""
"2022年","44000","大分県","6798",""
"2023年","44000","大分県","6259",""
"2024年","44000","大分県","5957",""
"2025年","44000","大分県","5666","速報"
"1995年","45000","宮崎県","11693",""
"1996年","45000","宮崎県","11792",""
"1997年","45000","宮崎県","11501",""
"1998年","45000","宮崎県","11335",""
"1999年","45000","宮崎県","10938",""
"2000年","45000","宮崎県","11037",""
"2001年","45000","宮崎県","11007",""
"2002年","45000","宮崎県","10657",""
"2003年","45000","宮崎県","10220",""
"2004年","45000","宮崎県","10267",""
"2005年","45000","宮崎県","9738",""
"2006年","45000","宮崎県","10094",""
"2007年","45000","宮崎県","10337",""
"2008年","45000","宮崎県","10292",""
"2009年","45000","宮崎県","10170",""
"2010年","45000","宮崎県","10217",""
"2011年","45000","宮崎県","10152",""
"2012年","45000","宮崎県","9858",""
"2013年","45000","宮崎県","9854",""
"2014年","45000","宮崎県","9509",""
"2015年","45000","宮崎県","9226",""
"2016年","45000","宮崎県","8929",""
"2017年","45000","宮崎県","8797",""
"2018年","45000","宮崎県","8434",""
"2019年","45000","宮崎県","8043",""
"2020年","45000","宮崎県","7720",""
"2021年","45000","宮崎県","7590",""
"2022年","45000","宮崎県","7136",""
"2023年","45000","宮崎県","6502",""
"2024年","45000","宮崎県","6000",""
"2025年","45000","宮崎県","5923","速報"
"1995年","46000","鹿児島県","16649",""
"1996年","46000","鹿児島県","16858",""
"1997年","46000","鹿児島県","16427",""
"1998年","46000","鹿児島県","16227",""
"1999年","46000","鹿児島県","15663",""
"2000年","46000","鹿児島県","16272",""
"2001年","46000","鹿児島県","15943",""
"2002年","46000","鹿児島県","15755",""
"2003年","46000","鹿児島県","15535",""
"2004年","46000","鹿児島県","15198",""
"2005年","46000","鹿児島県","14834",""
"2006年","46000","鹿児島県","15080",""
"2007年","46000","鹿児島県","15090",""
"2008年","46000","鹿児島県","15445",""
"2009年","46000","鹿児島県","14920",""
"2010年","46000","鹿児島県","15124",""
"2011年","46000","鹿児島県","15244",""
"2012年","46000","鹿児島県","14841",""
"2013年","46000","鹿児島県","14637",""
"2014年","46000","鹿児島県","14236",""
"2015年","46000","鹿児島県","14125",""
"2016年","46000","鹿児島県","13688",""
"2017年","46000","鹿児島県","13209",""
"2018年","46000","鹿児島県","12956",""
"2019年","46000","鹿児島県","11977",""
"2020年","46000","鹿児島県","11638",""
"2021年","46000","鹿児島県","11618",""
"2022年","46000","鹿児島県","10540",""
"2023年","46000","鹿児島県","9868",""
"2024年","46000","鹿児島県","8939",""
"2025年","46000","鹿児島県","8661","速報"
"1995年","47000","沖縄県","16751",""
"1996年","47000","沖縄県","17064",""
"1997年","47000","沖縄県","16614",""
"1998年","47000","沖縄県","16928",""
"1999年","47000","沖縄県","16680",""
"2000年","47000","沖縄県","16773",""
"2001年","47000","沖縄県","17169",""
"2002年","47000","沖縄県","16571",""
"2003年","47000","沖縄県","16303",""
"2004年","47000","沖縄県","16362",""
"2005年","47000","沖縄県","16115",""
"2006年","47000","沖縄県","16483",""
"2007年","47000","沖縄県","16588",""
"2008年","47000","沖縄県","16736",""
"2009年","47000","沖縄県","16744",""
"2010年","47000","沖縄県","17098",""
"2011年","47000","沖縄県","16918",""
"2012年","47000","沖縄県","17074",""
"2013年","47000","沖縄県","17209",""
"2014年","47000","沖縄県","16375",""
"2015年","47000","沖縄県","16942",""
"2016年","47000","沖縄県","16617",""
"2017年","47000","沖縄県","16218",""
"2018年","47000","沖縄県","15732",""
"2019年","47000","沖縄県","14902",""
"2020年","47000","沖縄県","14943",""
"2021年","47000","沖縄県","14535",""
"2022年","47000","沖縄県","13594",""
"2023年","47000","沖縄県","12549",""
"2024年","47000","沖縄県","11753",""
"2025年","47000","沖縄県","11511","速報"
